id,income-january,orders-january,clients-january,income-february,orders-february,clients-february,income-march,orders-march,clients-march,income-april,orders-april,clients-april,income-may,orders-may,clients-may,income-june,orders-june,clients-june,income-july,orders-july,clients-july,income-august,orders-august,clients-august,income-september,orders-september,clients-september,income-october,orders-october,clients-october,income-november,orders-november,clients-november,income-december,orders-december,clients-december
1,17086.2857,612,26,16733.46424,608,26,16672.38259,628,24,18703.63483,684,25,20185.16466,773,25,20129.39716,791,24,19252.53477,771,26,27236.95448,968,27,29778.27033,869,26,22501.71241,803,29,24832.62899,852,30,26215.29206,931,31
2,19509.45372,757,25,19612.2722,732,24,20409.07522,728,26,23761.86352,966,27,25277.78357,1050,28,25922.03301,967,27,27542.47626,1082,30,27400.06616,1008,30,25677.23437,941,30,22468.84607,732,29,26648.44675,974,31,27887.46625,1019,32
3,12336.18325,538,25,14672.01197,621,26,12887.08968,551,27,17910.90702,740,27,17062.53841,704,27,16727.65698,653,26,18068.17955,789,29,22276.75023,739,28,23518.90381,861,30,14853.76102,569,28,20630.69479,829,29,22643.75757,830,32
4,19027.10126,782,28,22729.2576,695,31,20168.46304,738,29,23573.82738,890,29,26459.69334,959,31,27419.85169,934,30,24904.71544,940,31,31171.83706,977,32,25544.48259,869,29,17849.5028,632,29,30225.41536,991,32,26178.53054,858,30
5,44365.32406,1091,30,54292.89236,1257,32,54216.5734,1167,31,67115.1876,1378,31,69962.00664,1525,32,58641.7201,1322,32,58451.40068,1327,32,67444.62828,1477,32,80079.68414,1464,32,50218.29671,1201,31,55565.00755,1339,30,61707.38794,1490,34
6,42722.71788,1468,44,43402.30118,1422,44,39680.11438,1416,45,45232.90319,1675,46,45938.67515,1760,46,50002.55986,1702,46,46678.13848,1747,47,53051.66492,1684,46,44285.04184,1496,46,44727.15622,1138,43,44937.12904,1512,46,58625.37962,1681,46
7,20547.13422,824,35,23909.11313,962,33,21946.51535,852,36,27523.45288,1138,36,31527.57219,1185,37,30022.57186,1120,37,25866.00114,1098,38,32807.56144,1198,38,30985.56077,1055,37,37209.61996,1021,37,39101.98268,1240,40,38808.85928,1221,41
8,13241.64357,610,29,12969.46678,574,29,17132.9393,656,30,17350.82537,744,30,19667.91058,845,33,19243.13967,692,32,18575.80826,818,33,27619.103,876,32,22376.50588,784,34,18763.9635,625,29,21434.34963,811,35,21904.98839,869,35
9,24322.99777,777,26,19847.07318,648,26,22144.31069,748,26,324690.5838,781,24,183297.8706,879,27,118691.0846,776,28,152091.7511,996,28,133808.649,956,28,171495.81,870,28,65269.77963,597,28,64677.35712,920,29,241523.0181,841,29
10,26552.8457,957,41,31702.15525,1063,41,33756.47148,1001,39,42019.89993,1307,43,50461.14437,1274,41,47848.53716,1252,42,51626.23072,1316,40,52333.79295,1414,42,48542.30079,1166,42,47253.97146,1016,42,58602.93666,1465,43,40375.3284,1153,40
11,35720.98146,651,19,45740.03955,677,22,28179.53623,519,21,43295.65313,754,23,53240.6789,935,22,47332.72326,852,23,43863.03407,899,24,57780.69565,992,23,57641.77213,948,24,35852.88244,677,27,52902.40792,989,25,40250.76997,772,27
12,18687.27766,660,25,20251.73048,660,26,20772.98802,633,25,23742.93736,779,26,24133.38922,833,28,23137.73433,776,28,25067.41771,880,27,27633.14715,888,27,25382.5754,855,26,18553.37188,658,24,31019.1601,914,29,27957.10332,883,30
13,19604.12759,737,24,18537.35438,751,26,20759.49861,756,28,28708.88786,972,31,29908.38937,1090,33,34024.56377,1052,35,28866.27716,1074,32,33906.49055,1107,35,33905.1878,1026,33,24584.87291,772,32,28545.58269,1019,35,33520.1815,1136,35
14,18058.5897,739,27,21497.05484,833,28,26276.57904,856,29,24754.89342,1002,28,23036.60653,951,28,24773.82062,980,30,25642.06809,1068,32,35734.89352,1150,32,29245.55586,1011,30,23635.62459,743,27,30288.41413,997,32,32649.06647,1154,32
15,21438.88857,791,29,19829.32386,734,29,22161.42673,819,31,28038.82187,895,30,24216.23021,936,30,33606.99858,861,31,24894.95926,892,30,36184.46866,1018,33,30560.88431,907,33,22549.20015,712,32,29401.48946,895,32,39469.72476,999,32
16,17040.87726,618,24,19032.19776,674,25,21423.17394,708,24,22434.74832,737,28,22462.42945,789,29,21922.91274,764,27,24796.39826,831,27,28800.50864,790,30,26622.16919,872,30,25675.52944,680,29,33712.22571,944,30,31540.7329,983,32
17,18097.38937,567,26,17022.3632,566,25,16622.58249,475,24,16680.18588,579,24,19074.44516,611,27,17051.66677,568,27,17973.92122,636,26,22423.31408,618,28,24392.29483,681,28,19205.07995,519,22,21945.7584,618,26,18671.42137,685,28
18,19541.40421,764,36,30250.99685,1038,40,26417.15501,872,37,35322.97656,1095,39,38985.83511,1178,39,31114.45527,1140,41,34903.90402,1114,40,38339.59908,1179,40,30826.16524,1037,39,26695.71281,893,40,36446.67663,1024,43,41836.43888,1335,43
19,24368.95941,726,29,23658.0351,763,31,24732.22516,769,31,26218.19691,871,29,23774.7923,885,30,33375.87618,979,29,30062.66182,959,32,51849.20314,976,32,44558.62424,895,32,25957.0106,802,33,42548.05132,937,33,32574.32466,996,34
20,16111.98791,640,28,18611.93399,716,30,18856.39099,721,30,21142.41817,782,31,24244.07548,910,29,20457.56939,802,29,20379.11416,834,29,28571.29216,952,30,21144.41609,787,28,26965.51207,697,30,23098.65222,898,29,28702.09897,907,30
21,11673.50951,463,25,14871.04346,584,25,14534.52563,529,25,17807.45749,616,24,17606.79603,657,25,15334.7017,559,25,15229.52934,616,25,18704.56541,644,25,20234.50847,661,25,13785.42167,489,25,16478.73358,621,28,31711.39507,875,30
22,23566.43265,831,29,24512.73652,857,31,28227.48322,1005,33,33395.91655,1212,34,35994.07642,1392,35,33578.08204,1258,32,33035.43276,1222,34,37277.16606,1209,34,33280.93509,1102,35,31108.5281,924,34,32538.10504,1114,35,34693.78714,1137,35
23,32158.10246,735,24,39669.72109,829,26,41088.89579,801,27,44120.13021,915,27,52991.04361,1107,29,43450.33742,1082,29,50167.34701,1083,28,63421.84741,1310,26,44502.84062,1045,29,37354.96938,860,29,40559.96065,966,29,44994.85468,903,28
24,24199.36422,761,35,20770.0414,648,34,22534.87764,716,35,23081.487,747,35,31645.0603,979,35,29347.57288,858,38,24740.03358,779,37,35108.6492,979,39,30307.04094,865,37,29438.81704,775,37,32146.49517,979,40,32412.45556,1036,42
25,15909.05384,646,33,15037.36683,626,33,17455.05579,672,33,18896.0477,708,30,20643.08089,864,32,17977.06254,794,34,18378.6614,786,35,21839.21197,816,33,20756.88275,747,34,15286.42278,556,28,20141.91085,761,33,20184.43254,768,35
26,20259.67706,649,27,22869.17072,667,26,23486.67727,676,26,23045.63051,819,30,28165.28748,910,30,28001.25976,877,32,23876.47802,911,31,34286.31894,936,31,59473.64569,859,31,16531.80625,603,29,23683.95129,728,31,31304.57,887,32
27,16689.67116,649,31,18173.0538,672,31,17403.42046,652,31,19931.23504,714,30,20410.63096,789,30,19138.29172,680,32,23601.4202,816,32,22724.38379,802,31,22334.51455,760,31,20790.71039,623,31,26238.74633,760,33,24379.96963,738,29
28,18676.96313,726,33,22307.14275,886,35,19627.06497,765,33,22296.45822,885,36,25693.86112,991,37,25026.02794,839,36,23839.7291,979,36,32723.33845,1127,39,28859.42913,990,38,21723.23573,763,37,27727.6344,963,38,30609.90861,1003,39
29,16574.3444,629,27,18993.08808,703,31,18750.5121,708,30,23805.57199,936,30,22693.41293,874,30,23774.75283,941,31,23191.43944,939,30,27319.57377,1000,31,23944.63585,885,30,18903.80501,699,30,21973.46066,864,31,25252.56391,957,33
30,37583.47184,790,28,53231.18757,881,28,69526.18546,975,27,62669.94094,1139,26,81299.3015,1182,26,60098.41563,1070,26,63944.61345,1072,28,74905.29416,1182,27,86962.65151,1242,25,52467.31686,811,26,55859.50955,1001,29,62174.07014,1065,31
31,19575.31549,839,33,23372.30196,934,32,22867.97696,883,33,23970.92944,1023,35,24973.6838,1054,36,23986.29566,1018,35,27484.32473,1176,35,37519.0774,1334,35,35930.62473,1130,34,22286.74325,749,31,29701.45151,898,34,36170.77814,1107,33
32,17835.06337,612,28,20782.62925,653,32,22588.62998,730,30,24403.7071,803,31,26285.60197,963,31,26396.09687,835,30,24725.48909,839,32,29269.1222,909,33,26704.42445,890,33,19513.56977,668,33,30353.68671,957,33,28335.46884,878,32
33,34618.20902,883,23,23659.56691,782,23,20889.1697,819,24,42838.16773,1108,24,34191.86385,1026,26,39533.424,940,26,35325.96986,964,27,31252.3586,929,28,41535.11052,1033,28,38688.46189,881,28,63979.89182,1159,27,46682.07999,1070,27
34,29674.93306,693,34,29481.75425,733,33,23952.96674,694,31,32388.96875,803,31,25901.4776,722,31,29301.94498,731,34,23627.10581,815,32,37028.82896,887,32,31938.81501,853,32,24955.46562,700,33,41661.03391,912,32,28784.69468,866,34
35,14814.75827,632,29,17468.67071,726,29,15259.30895,562,28,22338.39037,846,29,19680.00665,778,28,20806.74887,750,29,21834.18228,861,31,25896.8998,887,31,23161.00059,786,32,19001.63695,630,31,19182.82574,748,32,23140.47486,872,33
36,17969.79415,705,25,19830.95589,724,25,17701.81721,679,26,20733.59133,777,26,18381.94142,833,26,21126.37163,721,28,19646.9865,875,28,26844.88039,950,30,24761.60773,843,31,19835.76259,646,29,25621.19009,780,30,19932.09668,777,30
37,23039.14861,901,30,23787.0361,818,30,25463.00409,877,32,25245.70871,1025,32,26483.90974,1013,32,22826.66084,904,32,27561.8141,1072,32,39640.48237,1225,33,28620.65478,980,32,22138.54792,791,31,25462.87354,953,32,28240.30071,914,32
38,19919.59819,842,36,22747.13507,908,37,23167.74987,942,36,27477.67138,1086,38,28556.62694,1160,39,29910.68833,1210,39,25984.10245,1136,38,35156.9903,1158,41,28202.28502,1077,40,21779.02818,812,37,28630.50001,1138,38,30186.08208,1102,39
39,16495.50854,618,27,15842.65485,555,27,15664.12713,506,27,18402.3302,621,27,21683.69484,761,27,19074.9197,716,28,18001.362,694,28,18134.25733,621,27,19714.64451,653,28,10780.83479,427,28,19913.8284,703,30,16370.30515,682,31
40,13788.39873,609,29,18633.69412,727,31,23744.81479,779,28,19738.48628,789,30,24813.92236,887,31,26086.58619,806,31,19440.69273,746,31,26888.01552,840,31,26682.42764,763,30,22610.88562,663,31,25632.65859,923,33,28663.03887,803,34
41,19876.68729,751,34,23562.57228,989,36,24444.43361,948,35,24729.05059,968,34,30139.58521,1259,36,28030.81582,1005,33,27989.53352,1090,35,33034.18873,1244,36,29887.35114,1078,33,18828.38991,712,33,28767.26866,911,31,29678.77683,1122,36
42,21534.43923,727,30,28300.50116,851,33,29856.79814,872,31,31665.86368,1064,33,33104.35311,1091,36,32568.27267,1122,36,33581.75052,1196,34,38548.26825,1185,36,37532.82621,1136,32,34936.36213,866,34,38246.45426,1208,37,45099.36038,1185,38
43,15693.62631,575,25,20814.69084,658,25,20404.3584,625,24,23810.73291,780,23,23282.06243,842,26,23412.78082,859,26,23621.61266,852,25,28078.58294,883,26,23996.81338,805,27,20081.68295,620,25,20894.00119,780,26,23315.36559,816,25
44,15103.29421,593,29,17030.22184,638,31,18825.37557,685,31,19977.599,686,29,21316.26349,791,28,20449.66097,734,31,18719.89702,786,32,26274.14354,850,34,21192.94101,758,33,17618.62011,610,33,23116.27384,802,33,25381.24303,891,36
45,29930.09463,580,19,19712.67501,492,21,17110.07773,487,22,24200.14515,629,23,31896.00861,692,24,18647.82706,528,23,18361.43495,528,24,39954.66257,717,25,22764.90755,616,24,23307.06078,567,24,26389.93656,617,26,16112.23527,549,25
46,21965.58932,834,38,26260.04267,998,38,26477.68199,909,38,26957.26945,1025,38,28529.15178,1059,38,29310.90161,1112,38,30124.53999,1193,40,35673.03263,1243,40,41098.60858,1197,39,31544.18109,956,41,37387.59404,1266,43,36311.83465,1403,45
47,25330.21593,624,24,33996.22111,620,23,45006.82465,586,24,34865.06659,636,24,26082.62459,712,23,43186.87555,723,24,20851.75817,572,25,28068.19355,716,25,38823.71123,661,23,26379.1195,552,24,42156.22862,810,25,31246.85912,643,23
48,23393.78214,874,28,27742.34326,993,32,26309.12211,879,31,27834.81466,995,29,34094.37345,1169,33,28052.07099,995,34,30753.89615,1132,36,35295.64739,1235,37,119656.6327,1060,36,23853.02,834,33,27816.8456,1036,35,33038.30054,1091,35
49,14410.30689,498,21,14435.29607,518,22,18148.86118,547,22,17234.67903,582,24,18448.29059,669,23,20702.42763,768,26,18117.69202,688,26,23426.02287,796,26,20138.51708,679,27,18372.53144,651,27,20385.15337,702,26,30878.40116,959,30
50,15459.45514,658,30,23836.97908,946,33,25688.85617,848,29,28377.15992,1002,31,30170.20037,1050,33,38896.83664,1119,35,29559.52955,1047,32,34276.09734,1039,32,37554.64436,1030,31,26454.68332,752,34,35752.97466,1017,32,41195.03,1183,35
51,23012.25378,706,27,20459.86931,668,28,25340.25883,703,26,28004.10332,845,29,30300.04281,911,30,30885.07754,873,31,30404.95466,866,32,38668.67921,1001,32,34020.69994,971,33,34953.32291,774,31,38478.75363,1019,35,36000.77088,1030,35
52,23578.39731,921,37,19970.57666,810,38,27988.1511,1005,39,27134.49251,1016,38,27676.043,1123,40,33378.41002,1288,39,26444.31431,1109,39,33416.93238,1235,38,31890.50828,1173,39,22486.3777,849,37,30633.72652,1114,41,31381.62967,1162,41
53,14082.72273,568,24,13375.32639,518,27,17682.59678,660,27,16662.96285,648,26,15897.1681,660,27,17427.05754,661,27,17227.15675,660,26,17800.89852,637,26,19346.31329,719,28,21495.92472,621,27,21033.65254,815,31,21237.88433,844,33
54,17258.33083,630,35,19051.16245,549,37,15482.89967,612,35,21968.06556,815,37,23503.2853,897,38,21893.00401,777,37,21141.87777,755,37,29560.848,840,37,20371.88576,715,37,17159.28611,555,36,26496.32462,759,34,22969.29647,805,39
55,20712.61807,705,35,20717.18042,706,33,25019.84287,735,35,23758.9457,853,33,28279.94938,1003,34,33261.28598,968,36,25568.26854,899,37,27973.50091,867,37,27103.00889,860,38,23628.36085,722,37,28944.0116,1066,36,27917.70245,937,38
56,13661.54659,547,27,15594.93713,622,27,14461.42985,543,26,16333.21135,636,28,19109.86204,794,28,17159.37971,672,28,24010.83069,807,28,29519.56199,920,30,31375.04949,1004,30,38882.90169,802,33,26616.57198,1014,33,44290.82238,984,34
57,20888.05293,664,30,24849.40856,707,31,30851.88274,784,31,18108.83539,632,31,29876.46302,888,34,34661.75599,891,34,27607.05165,804,32,32781.20365,929,34,21234.37774,720,33,24372.09854,605,33,23042.51012,622,30,26352.23467,796,34
58,17226.81931,702,28,17698.49406,697,31,19912.8124,707,31,22955.81501,877,32,21427.996,875,33,22656.30291,881,31,25470.81538,1009,33,28725.73441,1054,34,26311.6088,834,34,19930.92745,699,29,28700.05188,1046,30,28272.98985,1058,31
59,15279.52154,713,29,16344.11053,769,30,15484.56145,670,27,21128.14013,981,30,18513.86786,847,31,16903.6167,745,32,18693.2331,898,31,22533.36422,927,31,22128.32159,810,30,15696.18146,677,30,24212.23734,1003,32,20604.93255,863,32
60,16579.09634,694,31,15758.76103,672,28,18137.60895,686,28,19174.3681,758,30,19279.83359,820,31,23794.52013,787,31,26318.33231,833,31,21432.5026,822,30,21319.53602,833,31,21264.94214,747,29,22687.22643,910,33,25027.478,922,34
61,47513.59083,792,24,63570.19885,860,26,59086.12421,922,26,54866.62272,949,28,71597.50409,1029,31,59666.84961,1079,31,83424.53148,1055,31,71254.04627,1151,31,59262.37561,966,29,44043.0731,740,30,51386.50116,1095,31,30815.56173,789,32
62,15546.04819,576,25,21972.59161,629,27,24002.84803,669,26,29673.73748,779,27,29292.9295,812,31,30591.32174,842,31,42726.71256,877,29,36550.17029,836,31,21647.14979,695,28,23702.30511,614,30,32582.46876,746,28,73162.06567,776,32
63,12589.64153,569,27,14503.58053,625,27,14068.68102,579,27,16345.73394,708,24,31644.90272,997,29,37241.37875,976,30,43371.63539,1083,31,62537.01757,1341,31,44293.45953,993,31,47923.79888,957,31,60119.36829,1165,33,52227.60381,1184,35
64,18571.41327,655,26,25142.2939,923,27,24651.42511,737,28,29840.69703,871,28,27336.85743,835,27,23333.73176,789,28,32288.76932,859,28,41449.1596,895,27,26607.35538,754,28,35856.21143,728,27,38328.67819,797,29,32840.57677,962,30
65,17211.19734,576,23,18688.94345,631,23,19448.80073,634,22,20297.58424,685,22,82608.03302,1667,26,80356.40803,1545,27,86647.49572,1664,25,103516.3605,1844,28,85958.81196,1764,29,67909.80172,1224,29,71105.80799,1407,29,104852.0195,1863,32
66,52482.98829,934,30,60978.4733,1090,33,80011.06082,1074,33,74429.59965,1256,30,89810.07671,1446,36,77907.72059,1334,36,76008.78989,1353,36,105930.0651,1466,37,326867.6999,1425,39,72897.00605,957,38,97126.44908,1202,41,88968.58473,1228,40
67,14623.59552,622,27,16559.47736,637,28,17496.89555,663,28,20115.85877,763,28,21265.43119,733,29,20254.00248,740,28,22349.02268,834,30,28826.91279,877,31,24317.31233,838,30,18779.59504,632,27,25966.59452,834,31,25879.24894,911,32
68,10140.71783,381,19,16439.86946,449,20,14595.00532,415,18,14680.15692,487,19,17872.16449,559,20,12252.71167,437,19,19716.73394,521,21,15746.86661,490,21,14879.78009,514,20,25510.11858,520,22,18029.05236,548,23,19662.60587,614,24
69,14742.2976,507,22,15829.26883,524,22,14984.25454,532,21,17041.95558,642,22,19219.85133,741,23,14801.78445,623,23,19678.40508,714,25,26561.1816,875,26,22758.3307,708,26,18966.46751,631,26,22504.343,808,27,25174.86248,776,27
70,16707.95336,657,26,20401.83831,782,28,23318.32045,793,29,24831.48047,900,28,25953.1277,1005,29,29078.84605,971,28,27594.46169,996,29,28072.64234,956,29,29391.67638,996,27,24738.56171,731,28,30825.73869,976,29,32086.94911,993,29
71,19610.44825,751,29,25613.20645,848,30,30050.83451,1037,31,30237.39824,1023,30,34744.37377,1196,30,34780.50101,1094,31,32266.30216,1158,31,36364.4102,1219,33,29715.69856,1013,32,30195.47666,914,32,36039.163,1122,31,33924.7692,1069,32
72,23854.50774,923,31,30121.93467,1108,35,30314.04002,1122,34,37619.57446,1374,33,34546.49067,1328,35,37035.3502,1411,33,30658.05007,1253,33,38760.50989,1349,34,44720.91104,1501,33,34470.44869,1155,35,31100.77173,1156,34,39208.73247,1416,34
73,10093.60201,372,20,14822.57104,463,20,13515.78461,459,19,15655.33121,521,20,15438.67505,533,20,12607.52055,460,21,18372.00966,587,20,18203.02389,524,21,13832.85418,489,19,16665.46537,436,20,13179.19469,480,19,16010.45152,542,21
74,21935.51426,778,30,25886.77988,885,33,22868.67633,799,31,32539.00601,1109,31,30779.93144,1253,32,28939.79163,994,31,31704.29515,1195,33,39624.33382,1272,34,36437.43425,1085,33,32941.60623,861,33,34515.20372,973,33,36923.54717,1182,34
75,10944.32256,482,21,12255.33559,551,21,11789.43133,507,21,15192.29614,631,21,13074.782,593,21,12375.6229,514,20,14195.53814,608,20,16175.23316,583,21,15079.65838,583,20,12658.695,469,21,15918.29108,643,21,16751.41709,658,26
76,29342.04392,1161,38,29451.25116,1070,38,28105.96568,1137,39,42974.2471,1522,42,41568.69454,1438,40,36172.14325,1367,42,37393.28399,1394,40,41072.20209,1421,42,46247.8651,1428,42,33215.94652,1166,43,40865.46711,1440,43,37442.24688,1416,41
77,21527.94361,722,22,19226.60501,620,22,24858.2743,693,23,23646.90622,826,24,29977.93853,978,25,24277.46391,823,24,24609.98356,780,25,30036.18918,808,24,23826.48726,755,22,19269.55973,637,23,27429.29754,895,24,25369.63019,815,24
78,19443.57779,626,28,23823.69643,787,29,26210.06513,739,31,23442.77196,772,29,27539.24347,887,32,39193.56213,884,33,35112.24163,894,33,56464.62094,993,34,32217.71029,962,34,50105.1393,714,33,45832.38677,909,32,33244.27257,1044,34
79,13616.70162,530,31,16083.44603,613,32,16493.79383,650,32,19949.29907,854,33,22275.15317,883,35,21973.79832,933,38,24024.00202,911,39,25194.07975,1005,39,24945.48917,909,36,17659.61565,717,34,21549.25009,861,37,22050.66206,903,40
80,25298.64566,829,25,26162.37201,902,26,30473.48617,955,26,37713.75942,1166,27,36798.83137,1233,26,31159.181,1030,26,28970.76612,1060,26,38755.4395,1281,26,38053.53978,1096,26,30081.43931,845,24,47042.99078,947,25,37630.43638,1139,27
81,33358.26471,891,31,26170.60986,872,31,27295.83841,879,32,31130.1633,1117,34,34506.5883,1061,34,30294.2608,934,35,28706.03653,1008,35,31459.40486,1108,34,27353.01879,890,35,31685.45965,929,35,28889.07969,1065,33,31671.71724,965,37
82,21804.27101,755,29,39940.19365,794,31,29817.2931,805,30,37167.1546,825,31,38897.51496,972,33,29199.31946,789,31,26269.22884,924,34,39328.66744,954,35,28602.07762,894,36,30442.07523,705,33,42513.32654,926,33,51254.22981,1045,37
83,11448.34506,472,22,14841.14303,594,22,13790.77511,534,25,13775.1321,573,24,15827.48259,631,25,13856.30345,551,23,12333.8973,532,23,20161.90098,737,23,14865.07135,590,24,14461.37053,495,24,18097.52818,701,25,19351.20782,720,25
84,121126.9664,779,30,32845.79219,741,33,39858.10271,765,32,128567.2153,865,32,37900.20196,921,33,40056.01152,936,33,49817.88372,888,33,58694.60761,1039,34,367003.0969,853,32,24938.99269,811,34,70075.39986,1067,33,49349.78464,985,36
85,17493.33529,602,26,16104.5602,665,26,18471.99191,628,25,18293.32631,634,22,21613.54689,828,26,17372.00378,680,25,18759.2304,732,26,23042.38076,780,26,27032.11607,867,26,19701.27291,506,24,25987.61689,779,25,30849.97226,726,27
86,15353.046,577,25,13262.34711,548,24,15246.71539,606,25,17197.94032,692,25,16982.40608,724,27,18749.70684,738,28,21889.7681,838,28,24174.14724,870,29,19473.89845,721,28,27386.60446,727,30,24176.61044,918,33,20341.09766,785,30
87,18073.80515,672,28,24000.63944,778,29,21417.96705,698,31,26641.44562,785,29,28317.14416,968,32,31346.96296,870,32,27544.05376,799,31,32856.70387,1024,32,27403.45718,697,31,30209.85699,662,31,30113.69646,895,31,33692.6613,939,33
88,10593.94967,480,21,11581.23683,464,22,14563.33412,615,23,13913.65365,620,20,15797.17691,647,21,14207.57374,591,22,15745.07619,672,24,21846.19441,706,25,18593.89581,726,25,15284.56081,453,20,15397.3434,644,23,26945.3995,676,24
89,16491.87556,457,23,15058.5892,411,23,18795.04857,487,23,17277.02069,536,23,20750.26686,679,23,23620.64943,648,23,19275.23074,564,24,27483.33774,660,26,26839.50136,635,27,21945.29801,599,27,22402.60743,707,30,26996.8304,750,32
90,10814.45091,481,18,11861.35941,457,19,14332.0284,575,19,14248.68936,543,19,12994.70246,530,19,15546.43336,635,20,15740.02328,647,20,19223.85192,599,20,20662.34458,668,19,12438.95537,435,21,13894.2926,531,21,16935.64499,554,21
91,60138.9844,867,30,38058.98275,832,32,62985.72275,921,32,65295.12865,1001,31,64637.85784,1004,32,61792.09347,962,32,57582.69671,1101,32,78880.70258,959,32,65112.34665,897,31,61493.27595,741,31,66163.68404,866,29,115850.6352,896,32
92,32402.83056,848,33,46444.54521,864,31,61930.41649,1157,33,40237.70422,1042,33,44038.50127,1102,36,48112.46601,1160,36,43586.59664,1126,35,55243.80627,1238,34,83860.38458,1358,36,41719.36782,995,37,69653.22792,1450,39,59737.02391,1432,40
93,18577.62449,672,33,21508.69666,774,32,24702.85145,900,34,26409.42554,963,33,29604.69549,1058,35,26725.9464,948,36,27744.51847,1018,36,30860.9913,1059,36,27071.3396,904,34,35179.82584,790,34,28111.00515,994,29,25940.90773,844,32
94,16658.09882,588,27,20494.38695,793,27,21795.54131,773,29,22578.07391,799,28,25043.51521,890,29,19417.66173,758,30,20876.01324,786,29,24343.83926,878,30,22735.3719,866,30,18305.54762,669,27,24654.41915,805,30,26129.26761,810,28
95,19589.52346,621,28,21117.55779,573,27,26192.16713,592,28,31428.78311,797,28,25244.7684,749,27,24822.02534,695,27,32403.40554,862,29,35940.15947,828,30,28104.37286,711,31,31293.46585,689,31,24675.8036,762,30,33333.81181,889,32
96,13354.41213,558,21,14808.05643,592,23,13683.83291,615,22,19123.28809,822,25,18317.39853,820,25,15623.01814,693,23,18659.67315,763,25,20765.08514,777,25,18663.69726,735,25,15573.22102,581,23,16868.25182,686,22,20687.4881,724,26
97,20158.50355,608,24,17433.35732,569,26,17350.92746,596,27,25488.25716,615,26,21705.97215,702,27,18184.82594,689,27,15488.99606,577,25,24491.74953,662,28,24484.73932,675,26,23905.82313,526,26,26047.03596,640,26,19835.34116,661,28
98,26465.86771,924,32,30589.05603,908,35,24866.51871,881,35,29897.02093,1028,35,35343.28675,1062,34,37596.98062,1147,38,37132.51932,1316,38,40883.93689,1268,41,44410.12723,1284,40,32606.60997,887,39,37559.60216,1142,42,56407.2697,1132,42
99,175393.9825,1085,25,163497.5234,938,26,138530.4551,1025,28,155030.5919,1157,28,193845.693,1319,29,157289.8116,1099,29,156402.6668,1197,28,188770.4079,1369,29,218069.2232,1379,29,152004.659,995,27,131568.7229,1173,31,176033.0155,1349,30
100,25529.87322,984,30,28007.73426,1020,31,30267.32164,1074,30,34015.82715,1219,31,28407.96756,1155,29,26902.29984,982,29,30830.79333,1130,29,32965.98625,1090,30,31319.4761,1064,29,44157.16997,907,32,28884.77879,959,31,30276.35239,1093,31
101,12648.38065,464,23,13821.24682,524,20,17152.68777,502,21,16315.11047,570,22,17699.37532,663,22,16302.87965,572,22,17739.75434,680,23,28735.00488,797,23,18846.98177,617,23,15069.47611,491,22,19577.02787,713,22,17521.17274,643,22
102,12224.46578,481,21,12798.81502,534,22,12782.29529,528,23,16570.62451,644,21,13419.27855,522,21,14828.28659,612,22,15156.34608,589,22,19109.30572,615,23,15924.20877,486,21,15239.1043,544,24,16703.43173,680,23,19428.73591,743,26
103,20120.77739,774,33,23673.82778,784,32,23156.25047,892,34,29643.3554,1098,35,30336.19274,1085,36,36881.71571,1112,36,31591.77207,1067,36,41937.94513,1097,37,34425.0142,1063,37,24003.14917,763,36,38585.96974,1176,37,28558.06113,1051,36
104,16411.80343,585,28,17448.78248,620,27,24782.10661,676,26,20285.80832,739,29,24609.07177,945,30,45086.89335,782,30,24947.88383,902,31,60728.71792,971,31,26794.46236,899,31,21365.50139,653,34,37271.46853,786,35,37623.48303,956,34
105,16085.80231,595,23,15323.89559,605,25,17198.38605,648,24,17748.67272,617,26,19206.50447,693,26,20606.63537,671,26,21516.61028,749,27,26390.3541,805,27,20335.43689,727,28,18335.43969,613,27,21785.44113,755,28,22637.78924,752,28
106,19421.76717,778,35,25829.35634,874,36,23289.21625,840,36,31409.15191,1123,38,31192.74306,1085,39,31677.97188,1117,38,32274.34512,1087,39,34234.17551,1142,37,33064.27122,1013,38,22738.29412,833,40,27030.41574,1016,38,26897.96912,1006,39
107,8036.46839,356,19,8544.06653,353,19,10140.01418,429,21,17395.93887,552,21,19810.60323,581,22,11471.11664,465,21,16158.66444,510,21,23332.11186,547,23,28070.10797,534,23,13300.40011,428,23,21139.42905,617,23,19316.00123,644,22
108,15489.36193,656,24,13510.48866,576,24,15683.32144,600,25,14658.34001,655,26,17946.44437,745,26,15803.70129,654,27,18262.48237,712,26,21794.63879,776,26,20258.70874,742,26,17390.27099,534,24,18511.14696,686,26,19504.37058,688,25
109,23748.04507,829,29,76498.2513,911,32,27156.21598,941,29,34728.66642,1128,33,39241.19323,1094,34,32077.6003,1078,34,55896.28202,1058,34,41577.37193,1189,35,25618.41309,960,34,25719.20447,876,35,38224.71745,1113,35,34246.6406,958,33
110,20303.8155,843,33,18501.76533,767,33,21468.09399,804,33,23484.94558,966,33,31899.23315,1114,35,27794.73158,1110,36,30032.55935,1271,36,39662.67952,1218,37,36609.53497,1181,37,26383.11265,908,36,30848.87117,1059,36,32659.78692,1197,38
